plugin_id,plugin_type,plugin_name,plugin_status,actionability_state,recommendation_count,actionable_via_discovery,reason_code,reason_code_detail,recommended_next_step,next_step_lane_id,expected_post_state,finding_count,finding_kind_preview,plugin_summary
analysis_surface_rugosity_index,analysis,Surface Rugosity Index,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,5,surface_rugosity_index,REUSED from baseline_freshman_20260219b
analysis_surface_terrain_position_index,analysis,Surface Terrain Position Index,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,5,surface_terrain_position_index,REUSED from baseline_freshman_20260219b
analysis_survival_kaplan_meier,analysis,Survival Kaplan Meier,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_survival_time_to_event,analysis,Survival Time To Event,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,1,survival_time_to_event,REUSED from baseline_freshman_20260219b
analysis_symbolic_regression_gp_v1,analysis,Symbolic Regression GP Approximation,ok,actionable,1,True,,,,already_actionable,actionable,1,leftfield_signal,REUSED from baseline_freshman_20260219b
analysis_tabpfn_foundation_tabular_v1,analysis,TabPFN-style Few-shot Tabular Baseline,ok,actionable,1,True,,,,already_actionable,actionable,1,leftfield_signal,REUSED from baseline_freshman_20260219b
analysis_tail_isolation,analysis,Tail Isolation,ok,actionable,1,True,,,,already_actionable,actionable,13,tail_isolation,REUSED from baseline_freshman_20260219b
analysis_tda_betti_curve_changepoint,analysis,Tda Betti Curve Changepoint,ok,actionable,1,True,,,,already_actionable,actionable,155,tda_betti_curve_changepoint,REUSED from baseline_freshman_20260219b
analysis_tda_mapper_graph,analysis,Tda Mapper Graph,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,1,tda_mapper_graph,REUSED from baseline_freshman_20260219b
analysis_tda_persistence_landscapes,analysis,Tda Persistence Landscapes,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,1,tda_persistence_landscapes,REUSED from baseline_freshman_20260219b
